x, y
-0.59022, 1391.47418
-0.59022, 1456.69158
-0.5913, 1521.90897
-0.5913, 1587.12636
-0.5913, 1652.34375
-0.5913, 1717.56114
-0.59239, 1782.77853
-0.59239, 1847.99592
-0.59348, 1913.21332
-0.59457, 1978.43071
-0.59565, 2043.6481
-0.60217, 2087.12636
-0.6087, 2065.38723
-0.61522, 2021.90897
-0.62174, 2021.90897
-0.62717, 2087.12636
-0.62826, 2152.34375
-0.63261, 2217.56114
-0.63478, 2282.77853
-0.63587, 2347.99592
-0.63696, 2413.21332
-0.63804, 2478.43071
-0.6413, 2543.6481
-0.13587, 1021.90897
-0.1, 1489.30027
-0.09565, 1554.51766
-0.09457, 1619.73505
-0.09457, 1684.95245
-0.08804, 1706.69158
-0.08152, 1695.82201
-0.07935, 1761.0394
-0.07717, 1826.25679
-0.07174, 1891.47418
-0.08587, 1630.60462
-0.07065, 1815.38723
-0.06413, 1804.51766
-0.05761, 1826.25679
-0.05326, 1891.47418
-0.05217, 1956.69158
-0.05109, 2021.90897
-0.06739, 1739.30027
-0.06739, 1674.08288
-0.05652, 1761.0394
-0.05, 1782.77853
-0.04674, 1717.56114
-0.04022, 1717.56114
-0.03696, 1782.77853
-0.03043, 1847.99592
-0.02717, 1913.21332
-0.02717, 1978.43071
-0.02391, 1804.51766
-0.02283, 1739.30027
-0.02283, 1674.08288
-0.02283, 1608.86549
-0.02283, 1543.6481
-0.02174, 1478.43071
-0.02174, 1413.21332
-0.01739, 1347.99592
-0.01413, 1413.21332
-0.01087, 1304.51766
-0.00435, 1347.99592
0.00109, 1413.21332
-0.01739, 1282.77853
-0.01848, 1217.56114
-0.01848, 1152.34375
-0.01957, 1087.12636
0.00652, 1347.99592
0.00761, 1282.77853
0.01413, 1239.30027
0.01739, 1304.51766
0.0163, 1174.08288
0.01848, 1108.86549
0.01848, 1043.6481
0.02283, 1369.73505
0.025, 1434.95245
0.02935, 1500.16984
0.02717, 1565.38723
0.03478, 1565.38723
0.03587, 1630.60462
0.03913, 1695.82201
0.04565, 1761.0394
0.04565, 1826.25679
0.04565, 1891.47418
0.05217, 1771.90897
0.05435, 1837.12636
0.05978, 1902.34375
0.05978, 1967.56114
0.05109, 1695.82201
0.06522, 1837.12636
0.07174, 1869.73505
0.07609, 1934.95245
0.08043, 2000.16984
0.06413, 1771.90897
0.08261, 1934.95245
0.08804, 1869.73505
0.09239, 1934.95245
0.08804, 1804.51766
0.08696, 1739.30027
0.08696, 1674.08288
0.09457, 1869.73505
0.09674, 1804.51766
0.10326, 1793.6481
0.10761, 1858.86549
0.1, 1728.43071
0.1, 1663.21332
0.1, 1597.99592
0.1, 1532.77853
0.11087, 1793.6481
0.11304, 1728.43071
0.11304, 1663.21332
0.11413, 1597.99592
0.11413, 1532.77853
0.1163, 1467.56114
0.11848, 1402.34375
0.125, 1337.12636
0.13152, 1337.12636
0.13804, 1326.25679
0.14457, 1337.12636
0.15109, 1315.38723
0.15652, 1380.60462
0.12609, 1271.90897
0.12609, 1206.69158
0.13696, 1261.0394
0.13696, 1195.82201
0.15761, 1271.90897
0.15978, 1206.69158
0.16087, 1141.47418
0.16413, 1076.25679
-0.65435, 2478.43071
-0.65652, 2413.21332
-0.6587, 2347.99592
-0.65978, 2282.77853
-0.66087, 2217.56114
-0.66196, 2152.34375
-0.66304, 2087.12636
-0.66413, 2021.90897
-0.66522, 1956.69158
-0.66522, 1891.47418
-0.6663, 1826.25679
-0.66739, 1761.0394
-0.66848, 1695.82201
-0.66848, 1630.60462
-0.66957, 1565.38723
-0.66957, 1500.16984
-0.67065, 1434.95245
-0.67174, 1369.73505
-0.67283, 1304.51766
-0.67283, 1239.30027
-0.67283, 1174.08288
-0.67391, 1108.86549
-0.67391, 1043.6481
-0.675, 978.43071
-0.675, 913.21332
-0.675, 847.99592
-0.67609, 782.77853
-0.67609, 717.56114
-0.67717, 652.34375
-0.67717, 587.12636
-0.67826, 521.90897
-0.67826, 456.69158
-0.67826, 391.47418
-0.67826, 326.25679
-0.67935, 261.0394
-0.67935, 195.82201
-0.68043, 130.60462
-0.68043, 65.38723
-0.68043, 0.16984
-0.68152, -65.04755
-0.68152, -130.26495
-0.68152, -195.48234
-0.68152, -260.69973
-0.6837, -325.91712
-0.69022, -347.65625
-0.69239, -282.43886
-0.69239, -217.22147
