x, y
-6.775, -606.21676
-6.8, -542.38697
-6.8125, -478.55718
-6.825, -414.72739
-6.825, -350.89761
-6.8375, -287.06782
-6.8375, -223.23803
-6.8375, -159.40824
-6.8375, -95.57846
-6.85, -31.74867
-6.8625, 32.08112
-6.875, 95.9109
-6.875, 159.74069
-6.8875, 223.57048
-6.9, 287.40027
-6.9375, 351.23005
-7, 415.05984
-7.025, 478.88963
-7.0125, 542.71941
-7.025, 606.5492
0.25, 744.84707
0.2875, 681.01729
0.3, 617.1875
0.3375, 553.35771
0.35, 489.52793
0.375, 425.69814
0.3625, 361.86835
0.4, 298.03856
0.425, 234.20878
0.4375, 170.37899
0.475, 106.5492
0.5, 42.71941
0.5125, -21.11037
0.5125, -84.94016
0.5125, -148.76995
0.525, -212.59973
0.525, -276.42952
0.5375, -340.25931
0.55, -404.0891
0.5625, -467.91888
0.5875, -531.74867
0.625, -595.57846
0.6625, -659.40824
0.7375, -691.32314
0.8125, -659.40824
0.875, -595.57846
0.95, -542.38697
-6.7125, -797.70612
-6.9375, 478.88963
-7.1, 478.88963
-7.125, 542.71941
-7.175, 606.5492
-7.1875, 670.37899
-7.1625, 734.20878
-7.15, 798.03856
-7.1625, 861.86835
-7.175, 925.69814
-7.05, 351.23005
-7.2375, 542.71941
-7.275, 478.88963
-7.275, 415.05984
-7.275, 351.23005
-7.2625, 659.74069
-7.3375, 723.57048
-7.3375, 787.40027
-7.325, 851.23005
-7.325, 915.05984
-7.325, 978.88963
-7.325, 1042.71941
-7.375, 659.74069
-7.375, 595.9109
-7.3875, 532.08112
-7.4, 468.25133
-7.4, 404.42154
-7.4, 340.59176
-7.4125, 276.76197
-7.425, 212.93218
-7.4375, 149.10239
-7.4625, 85.27261
-7.4875, 21.44282
-7.5, -42.38697
-7.5125, -106.21676
-7.5375, -170.04654
-7.5625, -233.87633
-7.6, -297.70612
-7.675, -350.89761
-7.75, -329.62101
-7.825, -372.1742
-7.9, -393.4508
-7.975, -457.28059
-8.025, -521.11037
-8.1, -553.02527
-8.175, -595.57846
-8.2375, -659.40824
-8.3125, -723.23803
-8.3875, -765.79122
-8.4625, -701.96144
-8.5, -638.13165
-8.525, -574.30186
-8.55, -510.47207
-8.55, -446.64229
-8.5625, -382.8125
-8.5625, -318.98271
-8.575, -255.15293
-8.5875, -191.32314
-8.5875, -127.49335
-8.6, -63.66356
-8.6, 0.16622
-8.6, 63.99601
-8.6125, 127.8258
-8.625, 191.65559
-8.6375, 255.48537
-8.6875, 319.31516
-8.675, 383.14495
-8.7625, 351.23005
-8.7875, 415.05984
-8.7875, 478.88963
-8.7875, 542.71941
-8.8, 606.5492
-8.8125, 670.37899
-8.8375, 734.20878
-8.85, 798.03856
-8.85, 861.86835
-8.9, 925.69814
-8.925, 989.52793
-8.9625, 1053.35771
-8.975, 1117.1875
-8.7375, 255.48537
-8.7375, 191.65559
-8.975, 872.50665
-8.9875, 808.67686
-9.0125, 744.84707
-9.025, 681.01729
-9.05, 617.1875
-9.05, 553.35771
-9.05, 489.52793
-9.05, 425.69814
-9.05, 361.86835
-9.0625, 298.03856
-9.0625, 234.20878
-9.075, 170.37899
-9.1, 106.5492
-9.125, 42.71941
-9.1625, -21.11037
-9.175, -84.94016
-9.2125, -148.76995
-9.2875, -212.59973
-9.3625, -201.96144
-9.4375, -212.59973
-9.5125, -233.87633
-9.5875, -297.70612
-9.6375, -361.5359
-9.7125, -340.25931
-9.7875, -382.8125
-9.8625, -414.72739
-9.9375, -457.28059
-10.0125, -521.11037
-10.0875, -584.94016
-10.1625, -638.13165
-10.2375, -648.76995
