x, y
-1.21397, 63.93229
-1.21397, 80.59896
-1.21397, 97.26563
-1.21397, 113.93229
-1.21397, 130.59896
-1.21218, 147.26563
-1.21218, 163.93229
-1.21218, 180.59896
-1.21038, 197.26563
-1.21038, 213.93229
-1.21038, 230.59896
-1.20859, 247.26563
-1.20859, 263.93229
-1.20859, 280.59896
-1.20859, 297.26563
-1.2068, 313.93229
-1.20501, 330.59896
-1.23187, -152.73438
-1.23008, -169.40104
-1.23008, -186.06771
-1.23008, -202.73438
-1.23008, -219.40104
-1.22829, -236.06771
-1.19606, 325.0434
-1.19427, 341.71007
-1.19427, 308.37674
-1.19248, 291.71007
-1.19248, 275.0434
-1.19248, 258.37674
-1.19069, 241.71007
-1.19248, 225.0434
-1.19069, 208.37674
-1.19069, 191.71007
-1.1889, 175.0434
-1.18532, 158.37674
-1.18353, 141.71007
-1.18353, 125.0434
-1.18353, 108.37674
-1.18353, 91.71007
-1.18174, 75.0434
-1.18174, 58.37674
-1.17816, 41.71007
-1.17816, 25.0434
-1.17637, 8.37674
-1.17637, -8.28993
-1.17457, -24.9566
-1.17278, -41.62326
-1.17278, -58.28993
-1.1692, -74.9566
-1.15846, -63.84549
-1.15846, -47.17882
-1.15846, -30.51215
-1.16204, -91.62326
-1.16741, -108.28993
-1.16741, -124.9566
-1.15667, -108.28993
-1.15488, -124.9566
-1.1513, -141.62326
-1.14056, -149.9566
-1.13697, -133.28993
-1.13339, -116.62326
-1.1316, -99.9566
-1.12981, -83.28993
-1.1316, -66.62326
-1.14235, -166.62326
-1.14235, -183.28993
-1.14056, -199.9566
-1.14056, -216.62326
-1.1316, -166.62326
-1.1316, -183.28993
-1.12265, -116.62326
-1.12086, -133.28993
-1.12086, -149.9566
-1.12086, -166.62326
-1.12086, -183.28993
-1.12086, -199.9566
-1.12086, -216.62326
-1.11907, -233.28993
-1.11728, -249.9566
-1.11549, -266.62326
-1.10654, -249.9566
-1.10654, -233.28993
-1.10654, -216.62326
-1.10654, -199.9566
-1.10654, -183.28993
-1.10474, -166.62326
-1.10474, -149.9566
-1.10474, -133.28993
-1.10295, -116.62326
-1.10295, -99.9566
-1.10295, -83.28993
-1.10116, -66.62326
-1.10116, -49.9566
-1.10116, -33.28993
-1.09758, -16.62326
-1.09758, 0.0434
-1.09579, 16.71007
-1.09579, 33.37674
-1.094, 50.0434
-1.094, 66.71007
-1.09221, 83.37674
-1.09221, 100.0434
-1.09221, 116.71007
-1.09221, 133.37674
-1.09221, 150.0434
-1.09042, 166.71007
-1.09221, 183.37674
-1.09042, 200.0434
-1.09042, 216.71007
-1.09042, 233.37674
-1.09042, 250.0434
-1.08863, 266.71007
-1.08505, 283.37674
-1.08505, 300.0434
-1.1137, -283.28993
-1.11549, -299.9566
-1.11549, -316.62326
-1.11549, -333.28993
-1.07968, 250.0434
-1.07789, 233.37674
-1.07789, 216.71007
-1.0761, 200.0434
-1.07252, 183.37674
-1.06535, 200.0434
-1.06893, 166.71007
-1.07252, 150.0434
-1.06177, 150.0434
-1.06177, 133.37674
-1.06177, 116.71007
-1.06177, 100.0434
-1.05998, 83.37674
-1.0564, 66.71007
-1.04924, 50.0434
-1.04029, 66.71007
-1.04208, 83.37674
-1.04387, 100.0434
-1.05103, 33.37674
-1.05103, 16.71007
-1.0385, 44.48785
-1.03671, 27.82118
-1.02596, 16.71007
-1.02417, 33.37674
-1.02417, 50.0434
-1.02417, 66.71007
-1.02775, 0.0434
-1.02417, -16.62326
-1.02059, -33.28993
-1.0188, -49.9566
-1.0188, -66.62326
-1.01522, -83.28993
-1.01522, -99.9566
-1.01343, -116.62326
-1.00806, -133.28993
-0.99731, -133.28993
-0.99373, -116.62326
-0.99194, -99.9566
-0.99194, -83.28993
-0.99194, -66.62326
-0.99194, -49.9566
-0.99731, -149.9566
-0.99731, -166.62326
-0.99731, -183.28993
-0.99194, -199.9566
-0.99552, -216.62326
-0.99552, -233.28993
-0.98299, -216.62326
-0.97941, -199.9566
-0.97941, -183.28993
-0.97941, -166.62326
-0.97762, -149.9566
-0.97762, -133.28993
-0.97583, -116.62326
-0.97583, -99.9566
-0.97583, -83.28993
-0.97583, -66.62326
-0.97583, -49.9566
-0.97583, -33.28993
-0.97404, -16.62326
-0.97404, 0.0434
-0.97225, 16.71007
-0.97046, 33.37674
-0.97046, 50.0434
-0.97046, 66.71007
-0.96867, 83.37674
-0.96867, 100.0434
-0.96867, 116.71007
-0.96867, 133.37674
-0.96867, 150.0434
-0.96867, 166.71007
-0.96688, 183.37674
-0.96688, 200.0434
-0.96688, 216.71007
-0.96688, 233.37674
-0.96688, 250.0434
-0.96688, 266.71007
-0.96688, 283.37674
-0.96509, 300.0434
-0.96329, 316.71007
-0.9615, 333.37674
-0.9615, 350.0434
-0.9812, -233.28993
-0.9812, -249.9566
-0.95613, 300.0434
-0.95434, 283.37674
-0.95255, 266.71007
-0.94897, 250.0434
-0.94718, 233.37674
-0.94718, 216.71007
-0.94718, 200.0434
-0.94539, 183.37674
-0.9436, 166.71007
-0.9436, 150.0434
-0.9436, 133.37674
-0.9436, 116.71007
-0.94181, 100.0434
-0.94002, 83.37674
-0.93823, 66.71007
-0.93644, 50.0434
-0.93644, 33.37674
-0.93644, 16.71007
-0.93286, 0.0434
-0.93107, -16.62326
-0.93107, -33.28993
-0.92927, -49.9566
-0.92927, -66.62326
-0.92927, -83.28993
